project_type,discovery_path,remediation_actions,repair_lag_days,clean_body_len
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,902
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2198
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2801
Traditional,Internal_Audit,Logic_Patching|Semantic_Alignment,0,1824
Traditional,Silent_Commit,Standard_Fix,2,1196
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,1,2122
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2241
Traditional,Silent_Commit,Config_Hardening,1,1080
Traditional,Silent_Commit,Logic_Patching,39,725
Traditional,Silent_Commit,Standard_Fix,0,443
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,2,2323
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,4530
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2984
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,5139
Traditional,Silent_Commit,Standard_Fix,36,386
Traditional,Silent_Commit,Logic_Patching,28,655
AI-Agent,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1396
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,1797
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,8890
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,1646
Traditional,Official_Advisory,Config_Hardening,0,841
Traditional,Silent_Commit,Logic_Patching|Semantic_Alignment,0,914
Traditional,Silent_Commit,Logic_Patching|Semantic_Alignment|Defensive_Doc,0,779
Traditional,Silent_Commit,Logic_Patching,25,768
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,565
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,753
Traditional,Silent_Commit,Defensive_Doc,16,660
Traditional,Silent_Commit,Semantic_Alignment,0,279
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,1,2599
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,4340
Traditional,Silent_Commit,Standard_Fix,31,799
Traditional,Silent_Commit,Standard_Fix,30,868
Traditional,Silent_Commit,Logic_Patching|Defensive_Doc,0,812
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1759
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,591
Traditional,Silent_Commit,Standard_Fix,0,2269
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,7053
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,4246
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5261
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,44,8369
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,1304
Traditional,Silent_Commit,Logic_Patching,0,0
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2378
Traditional,Silent_Commit,Config_Hardening,0,436
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,587
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,1122
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,1228
AI-Agent,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,5930
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,1896
Traditional,Silent_Commit,Semantic_Alignment|Defensive_Doc,0,882
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,43,8620
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,1215
Traditional,Official_Advisory,Config_Hardening,0,825
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,1,3684
AI-Agent,Silent_Commit,Config_Hardening|Semantic_Alignment,0,1041
Traditional,Official_Advisory,Config_Hardening,0,844
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,1675
Traditional,Silent_Commit,Defensive_Doc,0,727
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,3469
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,3959
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,1197
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Official_Advisory,Config_Hardening,0,858
Traditional,Official_Advisory,Config_Hardening,0,842
Traditional,Official_Advisory,Config_Hardening,0,839
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,36,642
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,4420
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,4307
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,3121
Traditional,Official_Advisory,Config_Hardening,0,834
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,599
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,1,988
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6738
Traditional,Silent_Commit,Logic_Patching|Defensive_Doc,1,640
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5559
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,147,8246
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Defensive_Doc,43,7597
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6931
Traditional,Internal_Audit,Logic_Patching|Semantic_Alignment,0,1078
Traditional,Official_Advisory,Config_Hardening,0,840
Traditional,Silent_Commit,Logic_Patching|Semantic_Alignment|Defensive_Doc,4,900
AI-Agent,Silent_Commit,Config_Hardening|Semantic_Alignment,0,1130
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2786
Traditional,Silent_Commit,Logic_Patching,0,4236
AI-Agent,Silent_Commit,Config_Hardening|Semantic_Alignment,0,1500
AI-Agent,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,3782
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,1103
Traditional,Silent_Commit,Standard_Fix,0,652
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Internal_Audit,Logic_Patching|Defensive_Doc,0,1170
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2369
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1945
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2701
Traditional,Silent_Commit,Config_Hardening,0,2577
Traditional,Official_Advisory,Config_Hardening,0,845
Traditional,Silent_Commit,Standard_Fix,0,20
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment,0,5058
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6794
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2568
Traditional,Silent_Commit,Standard_Fix,0,0
AI-Agent,Silent_Commit,Semantic_Alignment,1,33
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,3,3137
Traditional,Official_Advisory,Config_Hardening,0,839
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,4612
Traditional,Silent_Commit,Standard_Fix,0,1328
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,608
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Defensive_Doc,0,2560
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,3998
Traditional,Official_Advisory,Config_Hardening,0,831
Traditional,Official_Advisory,Config_Hardening,0,845
Traditional,Official_Advisory,Config_Hardening,0,840
Traditional,Silent_Commit,Logic_Patching|Semantic_Alignment|Defensive_Doc,0,1455
Traditional,Silent_Commit,Standard_Fix,0,40
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,7511
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2535
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment,0,3119
Traditional,Official_Advisory,Config_Hardening,0,844
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,4690
Traditional,Silent_Commit,Standard_Fix,40,0
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1715
AI-Agent,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,1,14388
Traditional,Silent_Commit,Standard_Fix,0,0
AI-Agent,Silent_Commit,Config_Hardening|Defensive_Doc,3,1217
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Semantic_Alignment,0,1827
Traditional,Official_Advisory,Config_Hardening,0,846
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2282
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,3055
Traditional,Silent_Commit,Config_Hardening,0,1526
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,4,6195
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2495
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Standard_Fix,0,0
AI-Agent,Silent_Commit,Logic_Patching,0,1617
Traditional,Silent_Commit,Defensive_Doc,0,834
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,4213
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Defensive_Doc,43,7597
AI-Agent,Silent_Commit,Standard_Fix,0,743
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,8628
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,4578
Traditional,Silent_Commit,Standard_Fix,0,305
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,9971
AI-Agent,Silent_Commit,Defensive_Doc,2,1516
Traditional,Official_Advisory,Config_Hardening,0,838
Traditional,Silent_Commit,Defensive_Doc,0,0
Traditional,Silent_Commit,Config_Hardening,0,0
Traditional,Silent_Commit,Logic_Patching,0,0
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5731
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Semantic_Alignment|Defensive_Doc,0,1476
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,9497
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,4167
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,3124
Traditional,Official_Advisory,Config_Hardening,0,839
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2805
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,10,1018
AI-Agent,Silent_Commit,Config_Hardening|Defensive_Doc,3,1824
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6191
Traditional,Silent_Commit,Standard_Fix,0,684
AI-Agent,Silent_Commit,Semantic_Alignment,0,450
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,5182
AI-Agent,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5816
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,1,554
AI-Agent,Silent_Commit,Semantic_Alignment,0,646
AI-Agent,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment,58,2080
Traditional,Silent_Commit,Standard_Fix,0,12
Traditional,Silent_Commit,Standard_Fix,0,819
AI-Agent,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1311
Traditional,Official_Advisory,Config_Hardening,10,838
Traditional,Silent_Commit,Standard_Fix,5,629
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,3734
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Internal_Audit,Logic_Patching|Config_Hardening,0,1417
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,1,2805
Traditional,Official_Advisory,Config_Hardening,10,833
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,505
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,777
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2479
Traditional,Official_Advisory,Logic_Patching|Config_Hardening,0,1497
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6473
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Semantic_Alignment|Defensive_Doc,0,3224
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5849
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,2523
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,988
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,4866
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Official_Advisory,Config_Hardening,0,837
Traditional,Official_Advisory,Semantic_Alignment,2,3066
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Defensive_Doc,0,1445
Traditional,Official_Advisory,Config_Hardening,0,834
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment,0,21345
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5873
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,375
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,4535
Traditional,Official_Advisory,Config_Hardening,0,852
Traditional,Official_Advisory,Config_Hardening|Defensive_Doc,0,1174
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening,0,5685
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Defensive_Doc,0,4430
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,784
Traditional,Silent_Commit,Config_Hardening,0,3294
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Defensive_Doc,0,11903
Traditional,Official_Advisory,Config_Hardening,0,831
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,737
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1798
AI-Agent,Silent_Commit,Defensive_Doc,0,428
Traditional,Silent_Commit,Logic_Patching|Semantic_Alignment|Defensive_Doc,0,2312
Traditional,Official_Advisory,Config_Hardening,0,844
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,3,4393
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,3557
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Defensive_Doc,0,813
Traditional,Silent_Commit,Standard_Fix,0,321
AI-Agent,Silent_Commit,Logic_Patching|Defensive_Doc,0,639
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,1,3010
AI-Agent,Silent_Commit,Semantic_Alignment,0,1291
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Defensive_Doc,44,8602
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2759
Traditional,Silent_Commit,Standard_Fix,0,0
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5682
Traditional,Silent_Commit,Standard_Fix,0,3121
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,7296
Traditional,Silent_Commit,Logic_Patching|Semantic_Alignment,0,4024
Traditional,Silent_Commit,Config_Hardening,0,811
Traditional,Silent_Commit,Standard_Fix,0,38
AI-Agent,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1777
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2209
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,5,28545
Traditional,Silent_Commit,Config_Hardening,0,1227
AI-Agent,Silent_Commit,Logic_Patching|Defensive_Doc,0,453
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2751
Traditional,Internal_Audit,Standard_Fix,0,795
AI-Agent,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,30,31245
AI-Agent,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6307
Traditional,Silent_Commit,Standard_Fix,3,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,8605
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1597
Traditional,Silent_Commit,Logic_Patching|Semantic_Alignment,0,2707
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Defensive_Doc,56,2840
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment,0,1779
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,21,29346
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,31,6278
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,0,978
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,2839
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,741
Traditional,Silent_Commit,Standard_Fix,50,0
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5011
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening,0,2755
AI-Agent,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,46,31245
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Defensive_Doc,1,3449
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,2754
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Defensive_Doc,0,3659
Traditional,Silent_Commit,Standard_Fix,0,0
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,1852
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,2,708
Traditional,Silent_Commit,Logic_Patching,0,1236
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,21993
Traditional,Silent_Commit,Logic_Patching,0,1855
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,7254
AI-Agent,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,7503
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,3865
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,2817
Traditional,Silent_Commit,Logic_Patching,0,203
Traditional,Silent_Commit,Logic_Patching|Defensive_Doc,2,10488
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,2216
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment|Defensive_Doc,6,1090
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,5676
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2684
AI-Agent,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,17325
Traditional,Silent_Commit,Logic_Patching|Config_Hardening,0,793
Traditional,Silent_Commit,Config_Hardening|Defensive_Doc,0,1546
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,8360
AI-Agent,Silent_Commit,Config_Hardening|Semantic_Alignment,0,1287
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,6363
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2748
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Standard_Fix,14,150
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,1,8166
Traditional,Silent_Commit,Standard_Fix,0,0
Traditional,Silent_Commit,Config_Hardening,1130,1119
Traditional,Silent_Commit,Defensive_Doc,0,639
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,2903
Traditional,Silent_Commit,Standard_Fix,14,157
Traditional,Silent_Commit,Standard_Fix,14,164
Traditional,Silent_Commit,Standard_Fix,49,0
Traditional,Silent_Commit,Standard_Fix,0,52
Traditional,Silent_Commit,Standard_Fix,1,0
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,16515
Traditional,Official_Advisory,Logic_Patching|Config_Hardening|Semantic_Alignment,0,2090
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,3178
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,1,637
Traditional,Silent_Commit,Standard_Fix,0,11
Traditional,Silent_Commit,Logic_Patching,0,2068
Traditional,Silent_Commit,Config_Hardening|Semantic_Alignment,0,5499
Traditional,Silent_Commit,Logic_Patching|Config_Hardening|Defensive_Doc,0,5480
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,9648
Traditional,Internal_Audit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,27581
Traditional,Silent_Commit,Config_Hardening,0,1230
AI-Agent,Silent_Commit,Logic_Patching|Config_Hardening|Semantic_Alignment|Defensive_Doc,0,13683
